station,fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,normalized_width,mean_interval_score
CSGS2,q1_2020,4,robust_risk_mondrian,clean,up,266,0.7781954887218046,0.12180451127819547,36.330078125,0.27946212887763977,71.1377182006836
CSGS2,q1_2020,4,robust_risk_mondrian,combined_outage,down,207,0.7971014492753623,0.10289855072463772,37.66504669189453,0.28973111510276794,63.58823013305664
CSGS2,q1_2020,4,robust_risk_mondrian,combined_outage,up,266,0.6879699248120301,0.2120300751879699,41.20246505737305,0.316942036151886,78.09351348876953
CSGS2,q1_2020,4,robust_risk_mondrian,irradiance_outage,down,207,0.8502415458937198,0.049758454106280214,39.207149505615234,0.30159345269203186,59.160552978515625
CSGS2,q1_2020,4,robust_risk_mondrian,irradiance_outage,up,266,0.7857142857142857,0.11428571428571432,37.89898681640625,0.29153066873550415,73.12947845458984
CSGS2,q1_2020,4,robust_risk_mondrian,recent_power_outage,down,207,0.7632850241545893,0.1367149758454107,28.698211669921875,0.220755472779274,58.45724868774414
CSGS2,q1_2020,4,robust_risk_mondrian,recent_power_outage,up,266,0.8308270676691729,0.06917293233082711,41.683616638183594,0.32064321637153625,64.98016357421875
CSGS2,q1_2020,4,robust_risk_mondrian,weather_outage,down,207,0.7922705314009661,0.10772946859903387,37.87517166137695,0.291347473859787,72.24620819091797
CSGS2,q1_2020,4,robust_risk_mondrian,weather_outage,up,266,0.6842105263157895,0.21578947368421053,37.91427230834961,0.2916482388973236,77.86244201660156
CSGS2,q1_2020,4,robust_rolling_cqr,clean,down,207,0.6908212560386473,0.20917874396135272,31.77176284790039,0.24439817667007446,73.94071960449219
CSGS2,q1_2020,4,robust_rolling_cqr,clean,up,266,0.7255639097744361,0.17443609022556394,32.44838333129883,0.24960294365882874,68.93089294433594
CSGS2,q1_2020,4,robust_rolling_cqr,combined_outage,down,207,0.821256038647343,0.07874396135265704,41.519569396972656,0.3193812966346741,64.64595031738281
CSGS2,q1_2020,4,robust_rolling_cqr,combined_outage,up,266,0.6842105263157895,0.21578947368421053,37.83586502075195,0.2910451292991638,79.79653930664062
CSGS2,q1_2020,4,robust_rolling_cqr,irradiance_outage,down,207,0.7729468599033816,0.1270531400966184,34.5805549621582,0.2660042643547058,65.10279083251953
CSGS2,q1_2020,4,robust_rolling_cqr,irradiance_outage,up,266,0.7105263157894737,0.18947368421052635,32.59174728393555,0.250705748796463,73.39826202392578
CSGS2,q1_2020,4,robust_rolling_cqr,recent_power_outage,down,207,0.8067632850241546,0.0932367149758454,32.962093353271484,0.2535545527935028,57.70930480957031
CSGS2,q1_2020,4,robust_rolling_cqr,recent_power_outage,up,266,0.849624060150376,0.050375939849624074,42.05390167236328,0.32349154353141785,63.43647384643555
CSGS2,q1_2020,4,robust_rolling_cqr,weather_outage,down,207,0.6521739130434783,0.24782608695652175,33.00352096557617,0.25387322902679443,84.02730560302734
CSGS2,q1_2020,4,robust_rolling_cqr,weather_outage,up,266,0.6278195488721805,0.2721804511278195,32.89194107055664,0.2530149221420288,79.80802154541016
CSGS2,q2_2020,1,clean_condition_cqr,clean,down,183,0.2896174863387978,0.6103825136612022,22.48035430908203,0.17292580008506775,151.2630157470703
CSGS2,q2_2020,1,clean_condition_cqr,clean,up,154,0.19480519480519481,0.7051948051948052,22.408672332763672,0.1723743975162506,161.5846710205078
CSGS2,q2_2020,1,clean_condition_cqr,combined_outage,down,183,0.6721311475409836,0.22786885245901645,57.70653533935547,0.44389641284942627,117.14774322509766
CSGS2,q2_2020,1,clean_condition_cqr,combined_outage,up,154,0.2662337662337662,0.6337662337662338,59.830326080322266,0.46023327112197876,337.17572021484375
CSGS2,q2_2020,1,clean_condition_cqr,irradiance_outage,down,183,0.6065573770491803,0.2934426229508197,29.53645896911621,0.22720353305339813,97.22782135009766
CSGS2,q2_2020,1,clean_condition_cqr,irradiance_outage,up,154,0.2597402597402597,0.6402597402597403,26.830034255981445,0.20638488233089447,150.09512329101562
CSGS2,q2_2020,1,clean_condition_cqr,recent_power_outage,down,183,0.6721311475409836,0.22786885245901645,57.33530807495117,0.44104084372520447,116.01348876953125
