fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,mean_interval_score
q2_2020,1,persistence_condition_cqr,combined_outage,down,182,0.9340659340659341,0.0,39.866920471191406,42.73520278930664
q2_2020,1,persistence_condition_cqr,combined_outage,up,154,0.9675324675324676,0.0,38.12868881225586,41.83754348754883
q2_2020,1,persistence_condition_cqr,irradiance_outage,down,182,0.0,0.9,7.281867027282715,107.41876983642578
q2_2020,1,persistence_condition_cqr,irradiance_outage,up,154,0.0,0.9,7.268346786499023,97.59831237792969
q2_2020,1,persistence_condition_cqr,recent_power_outage,down,182,0.9340659340659341,0.0,39.866920471191406,42.73520278930664
q2_2020,1,persistence_condition_cqr,recent_power_outage,up,154,0.9675324675324676,0.0,38.12868881225586,41.83754348754883
q2_2020,1,persistence_condition_cqr,weather_outage,down,182,0.0,0.9,7.281867027282715,107.41876983642578
q2_2020,1,persistence_condition_cqr,weather_outage,up,154,0.0,0.9,7.268346786499023,97.59831237792969
q2_2020,1,robust_condition_cqr,clean,down,182,0.4725274725274725,0.4274725274725275,11.213981628417969,48.50800704956055
q2_2020,1,robust_condition_cqr,clean,up,154,0.512987012987013,0.38701298701298703,13.518439292907715,34.31858444213867
q2_2020,1,robust_condition_cqr,combined_outage,down,182,0.6648351648351648,0.23516483516483522,13.79637622833252,40.86857986450195
q2_2020,1,robust_condition_cqr,combined_outage,up,154,0.6038961038961039,0.2961038961038961,13.973591804504395,36.214019775390625
q2_2020,1,robust_condition_cqr,irradiance_outage,down,182,0.510989010989011,0.38901098901098907,11.942712783813477,47.93425369262695
q2_2020,1,robust_condition_cqr,irradiance_outage,up,154,0.4935064935064935,0.4064935064935065,13.289341926574707,38.29641342163086
q2_2020,1,robust_condition_cqr,recent_power_outage,down,182,0.6758241758241759,0.22417582417582416,13.498924255371094,38.702415466308594
q2_2020,1,robust_condition_cqr,recent_power_outage,up,154,0.6818181818181818,0.21818181818181825,14.242158889770508,24.40410041809082
q2_2020,1,robust_condition_cqr,weather_outage,down,182,0.47802197802197804,0.421978021978022,11.186034202575684,48.13065719604492
q2_2020,1,robust_condition_cqr,weather_outage,up,154,0.5194805194805194,0.3805194805194806,13.583573341369629,35.88201904296875
q2_2020,1,robust_local_cqr,clean,down,182,0.521978021978022,0.378021978021978,11.876691818237305,45.45859909057617
q2_2020,1,robust_local_cqr,clean,up,154,0.6103896103896104,0.28961038961038965,14.84003734588623,31.242511749267578
