horizon_steps,threshold_fraction,method,condition,ramp_group,n,coverage,undercoverage_error,mean_width
4,0.2,robust_local_cqr,weather_outage,ramp,4253,0.8760874676698801,0.023912532330119918,12.968301773071289
4,0.2,robust_risk_mondrian,clean,non_ramp,19171,0.935110322883522,0.0,8.760204315185547
4,0.2,robust_risk_mondrian,clean,ramp,4253,0.8673877263108394,0.03261227368916064,12.308778762817383
4,0.2,robust_risk_mondrian,combined_outage,non_ramp,19171,0.9198789838819049,0.0,10.421162605285645
4,0.2,robust_risk_mondrian,combined_outage,ramp,4253,0.8751469550905243,0.024853044909475708,15.112908363342285
4,0.2,robust_risk_mondrian,irradiance_outage,non_ramp,19171,0.9368316728391842,0.0,9.204700469970703
4,0.2,robust_risk_mondrian,irradiance_outage,ramp,4253,0.8824359275805314,0.017564072419468668,13.913522720336914
4,0.2,robust_risk_mondrian,recent_power_outage,non_ramp,19171,0.9232695216733608,0.0,9.807199478149414
4,0.2,robust_risk_mondrian,recent_power_outage,ramp,4253,0.8796143898424641,0.020385610157535927,13.843839645385742
4,0.2,robust_risk_mondrian,weather_outage,non_ramp,19171,0.9379792394762924,0.0,8.927297592163086
4,0.2,robust_risk_mondrian,weather_outage,ramp,4253,0.8645661885727721,0.0354338114272279,12.807531356811523
4,0.2,robust_rolling_cqr,clean,non_ramp,19171,0.9271295185436336,0.0,8.3195219039917
4,0.2,robust_rolling_cqr,clean,ramp,4253,0.8166000470256289,0.08339995297437108,10.545893669128418
4,0.2,robust_rolling_cqr,combined_outage,non_ramp,19171,0.9124719628605706,0.0,10.343239784240723
4,0.2,robust_rolling_cqr,combined_outage,ramp,4253,0.8347049141782271,0.0652950858217729,13.477951049804688
4,0.2,robust_rolling_cqr,irradiance_outage,non_ramp,19171,0.9262427625058682,0.0,8.815235137939453
4,0.2,robust_rolling_cqr,irradiance_outage,ramp,4253,0.8325887608746767,0.06741123912532332,11.67432975769043
4,0.2,robust_rolling_cqr,recent_power_outage,non_ramp,19171,0.919409524803088,0.0,9.945757865905762
4,0.2,robust_rolling_cqr,recent_power_outage,ramp,4253,0.8462261932753351,0.05377380672466492,12.71998119354248
4,0.2,robust_rolling_cqr,weather_outage,non_ramp,19171,0.929528976057587,0.0,8.473959922790527
4,0.2,robust_rolling_cqr,weather_outage,ramp,4253,0.8081354338114273,0.09186456618857275,11.067183494567871
4,0.25,robust_condition_cqr,clean,non_ramp,21369,0.9206794889793626,0.0,8.125760078430176
